2018/10/12 16:08:42.487 [D]  init conf succ, config:&{debug ./logs/tradeRobot.log 0xc420196c90  {{} [0 0 0 0 0 0 0 0 0 0 0 0] 0} {{0 0} 0 0 0 0}}
2018/10/15 10:35:52.342 [D]  init conf succ, config
2018/10/15 10:35:54.348 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:54.348 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:55.351 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:55.351 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:56.354 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:56.354 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:57.355 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:57.355 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:58.357 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:58.357 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:59.362 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:35:59.362 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:36:00.365 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:36:00.365 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
