2018/10/31 18:50:22.433 [E] [initRobot.go:27]  create trade result tables success
2018/10/31 18:50:22.433 [I] [main.go:12]  init Accounts success
2018/10/31 18:50:22.433 [D] [proc.go:198]  init conf succ
2018/10/31 18:50:22.438 [I] [asm_amd64.s:2361]  http server Running on http://:5080
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  the request url is  /robot/start
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/runtime/asm_amd64.s:573
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/runtime/panic.go:502
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/runtime/panic.go:63
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/runtime/signal_unix.go:388
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /Users/lumingjian/go/src/tradeRobot/robot/initialize/UserId.go:57
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /Users/lumingjian/go/src/tradeRobot/admin/controllers/robot_start_controller.go:41
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/runtime/asm_amd64.s:573
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/reflect/value.go:447
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/reflect/value.go:308
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /Users/lumingjian/go/src/tradeRobot/vendor/github.com/astaxie/beego/router.go:847
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/net/http/server.go:2694
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/net/http/server.go:1830
2018/10/31 18:52:04.641 [C] [asm_amd64.s:573]  /usr/local/go/src/runtime/asm_amd64.s:2361
2018/10/31 18:52:04.641 [server.go:2921]  [HTTP] http: multiple response.WriteHeader calls
2018/10/31 18:55:24.501 [E]  create trade result tables success
2018/10/31 18:55:24.501 [I]  init Accounts success
2018/10/31 18:55:24.501 [D]  init conf succ
2018/10/31 18:55:25.103 [I]  query finished orders failed &{0xc420188340 {0 0} false <nil> 0x1262d10 0x1262ca0}
2018/10/31 18:55:25.103 [E]  json.Unmarshal curOrdersFinished failed err: json: cannot unmarshal string into Go value of type utils.ZTOrderFinishedResp
2018/10/31 18:55:25.380 [I]  query finished orders failed &{0xc42002e440 {0 0} false <nil> 0x1262d10 0x1262ca0}
2018/10/31 18:55:25.380 [E]  json.Unmarshal curOrdersFinished failed err: json: cannot unmarshal string into Go value of type utils.ZTOrderFinishedResp
2018/10/31 18:55:25.649 [I]  query finished orders failed &{0xc42002e680 {0 0} false <nil> 0x1262d10 0x1262ca0}
2018/10/31 18:55:25.649 [E]  json.Unmarshal curOrdersFinished failed err: json: cannot unmarshal string into Go value of type utils.ZTOrderFinishedResp
2018/10/31 18:55:25.922 [I]  query finished orders failed &{0xc420188580 {0 0} false <nil> 0x1262d10 0x1262ca0}
2018/10/31 18:55:25.922 [E]  json.Unmarshal curOrdersFinished failed err: json: cannot unmarshal string into Go value of type utils.ZTOrderFinishedResp
2018/10/31 18:55:26.205 [I]  query finished orders failed &{0xc420188200 {0 0} false <nil> 0x1262d10 0x1262ca0}
